,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
34703,Austin Sopp,,"Orlando, Florida (United States of America)",26th August 1994 (age 27),18th March 2017 (4 years ago),Austin Gunn,,250 lbs. (113 kg),
369,José Luis Barajas Fernández,196 lbs. (89 kg) at 5'11'' (1.80 m),"Ciudad de México, Ciudad de México (Mexico)",5th October 1947 (age 74),19th June 1973 (48 years ago),El Faraón,,,
494,unknown,215 lbs. (98 kg) at 5'10'' (1.78 m),"New York City, New York (United States of America)",,24th November 2001 (20 years ago),Blackjack Marciano,,,
500,unknown,208 lbs. (94 kg) at 6'2'' (1.88 m),"North Platte, Nebraska (United States of America)",,31st January 2004 (18 years ago),ShareCropper,,,
1383,unknown,220 lbs. (100 kg) at 5'10'' (1.78 m),"Watkins, Iowa (United States of America)",,,Rory Fox,,,
1508,Bruce Santee,265 lbs. (120 kg) at 6'4'' (1.93 m),"St. Petersburg, Florida (United States of America)",14th October 1979 (age 42),??th November 2000,Bruce Santee,,,
1594,David W. Peterson,240 lbs. (109 kg) at 6'4'' (1.93 m),"St. Joseph, Missouri (United States of America)",17th July 1959,18th October 1983 (38 years ago),DJ Peterson,25th May 1993,,
1939,Louie Ramos,285 lbs. (129 kg) at 5'9'' (1.75 m),"New York City, New York (United States of America)",11th December 1976 (age 45),26th June 1997 (24 years ago),Louie Ramos,,,
1982,Emory H. Hail,360 lbs. (163 kg) at 6'9'' (2.06 m),"St. Petersburg, Florida (United States of America)",13th December 1969,1995,Lord Humongous,29th January 2006,,
2093,Steve Simpson,230 lbs. (104 kg) at 6'2'' (1.88 m),Johannesburg (South Africa),3rd December 1963 (age 58),1984,Steve Simpson,,,
2117,Jacob Pappenheim,187 lbs. (85 kg) at 5'9'' (1.75 m),"Portland, Oregon (United States of America)",28th March 1914,,Kurt Von Poppenheim,1st May 2003,,
2157,unknown,187 lbs. (85 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",8th December 1951 (age 70),1979,Súper Pinocho,,,
2224,Francesco Duse,233 lbs. (106 kg) at 6'3'' (1.91 m),"Roma, Lazio (Italy)",19th May 1979 (age 42),,Axel Fury,,,
2356,David Strawn ,,"Tampa, Florida (United States of America)",3rd November 1956 (age 65),1978,Korstia Korchenko,,,
2366,unknown,235 lbs. (107 kg) at 6'2'' (1.88 m),"Edina, Minnesota (United States of America)",,1986,Ricky Rice,,,
2387,Scott Oberholzer,224 lbs. (102 kg) at 6'1'' (1.85 m),"Uhrichsville, Ohio (United States of America)",19th September 1977 (age 44),1999,Scotty Sabre,,,
2499,CJ Summers,205 lbs. (93 kg) at 5'9'' (1.75 m),"Seaside Heights, New Jersey (United States of America)",17th November ???,1994,CJ Summers,,,
2794,unknown,189 lbs. (86 kg) at 5'11'' (1.80 m),"London, Greater London, England (United Kingdom)",,,Alan Gallagher,,,
2859,Chris Tidwell,270 lbs. (122 kg) at 6'4'' (1.93 m),"Las Vegas, Nevada (United States of America)",12th November 1969 (age 52),,Notorious TID,,,
3147,unknown,239 lbs. (108 kg) at 6'1'' (1.85 m),,,,Frankie Lancaster,,,
3390,Steve Taylor,225 lbs. (102 kg) at 5'11'' (1.80 m),United Kingdom,25th January 1986 (age 36),24th January 2003 (19 years ago),Tommy Taylor,,,
3662,Matthias Ilgen,207 lbs. (94 kg) at 6'2'' (1.88 m),"Husum, Schleswig-Holstein (Germany)",6th December 1983 (age 38),2006,Matthias Rüdiger Freiherr von Ilgen,,,
3923,Frank Cullen,,United Kingdom,,,Chic Cullen,,,
4282,Kelly Adams,112 lbs. (51 kg) at 5'6'' (1.68 m),"Manchester, Greater Manchester, England (United Kingdom)",6th August 1988 (age 33),??th July 2005,Kelly Adams ,,,
4706,unknown,,Mexico,1st May 1986 (age 35),,Jesse,,,
5327,unknown,351 lbs. (159 kg) at 6'5'' (1.96 m),United States of America,2nd March 1981 (age 41),21st November 1998 (23 years ago),Black Metal,,,
5543,Isidro Arce Martínez,183 lbs. (83 kg) at 5'8'' (1.73 m),"Heroica Puebla de Zaragoza, Puebla (Mexico)",15th April 1955 (age 66),??th February 1976,Tony Arce,,,
5946,unknown,210 lbs. (95 kg) at 6'1'' (1.85 m),"Redcar, North Yorkshire, England (United Kingdom)",3rd January ???,,Anthony McIntyre,,,
6181,Ryan Collins,246 lbs. (112 kg) at 6'3'' (1.91 m),"Sand Springs, Oklahoma (United States of America)",9th October 1985 (age 36),8th March 2008 (14 years ago),Brandon Traven,,,
6313,unknown,210 lbs. (95 kg) at 5'11'' (1.80 m),"Oakland, California (United States of America)",10th May ???,??th October 1999,The Ace Crusader,,,
6921,Renato Juan Gian Marino,,,,,Juan Caruso,,,
7023,unknown,219 lbs. (99 kg) at 6'2'' (1.88 m),,,,Khan Kussion,,,
7334,unknown,,"Ottawa, Ontario (Canada)",,2000,Joshua Masters,,230 lbs. (104 kg),
7395,Damien Wayne Kostyal,,"Hampton, Virginia (United States of America)",18th December 1971 (age 50),10th August 2002 (19 years ago),Damien Wayne,,,
7576,Christian Wellisch,230 lbs. (104 kg) at 6'3'' (1.91 m),Budapest (Hungary),13th September 1975 (age 46),15th December 2001 (20 years ago),Christian Wellisch,,,
7600,Anthony Louden,265 lbs. (120 kg) at 6'1'' (1.85 m),United Kingdom,,2007,The Juggernaught,,,
7674,unknown,202 lbs. (92 kg) at 6'3'' (1.91 m),"Nottingham, Nottinghamshire, England (United Kingdom)",30th November 1989 (age 32),2004,Dave Breaks,,,
7954,Helen Nevins,,"Omaha, Nebraska (United States of America)",1926,,Helen Hild ,4th March 1984,,
8325,Michael Huber,236 lbs. (107 kg) at 6'0'' (1.83 m),United States of America,,,Spike Huber,,,
8524,unknown,190 lbs. (86 kg) at 6'0'' (1.83 m),"Baltimore, Maryland (United States of America)",,24th May 2001 (20 years ago),Andrew Ryker,,,
8897,Hailee Nero-Jane Jefferson,,"Cameron, North Carolina (United States of America)",19th October 1986 (age 35),2004,Bacardi ,,,5'7'' (1.70 m)
8926,Pablo Ordaz Crispín,233 lbs. (106 kg) at 5'10'' (1.78 m),"Chihuahua, Chihuahua (Mexico)",18th June 1934,1959,Great Goliath,12th April 2004,,
9330,unknown,240 lbs. (109 kg) at 6'3'' (1.91 m),"Portsmouth, Hampshire, England (United Kingdom)",17th January 1989 (age 33),,Will Davison,,,
9391,Angélica Hernández,,"San Miguel Allende, Guanajuato (Mexico)",19th May 1959 (age 62),1974,Vicky Carranza ,,,
9751,Marquis Youngston,245 lbs. (111 kg) at 6'2'' (1.88 m),"Chesapeake, Virginia (United States of America)",31st December ???,,Marcus Owens,,,
9780,Duschka Ceron,243 lbs. (110 kg) at 6'2'' (1.88 m),,,14th February 2008 (14 years ago),Drake Destroyer,,,
10227,Ryan Mitchener,167 lbs. (76 kg) at 5'6'' (1.68 m),"Glassboro, New Jersey (United States of America)",29th August 1988 (age 33),,Ryan Slater,,,
10243,Takashi Okita,238 lbs. (108 kg) at 5'10'' (1.78 m),"Towada, Aomori (Japan)",23rd May 1981 (age 40),11th February 2008 (14 years ago),Takashi Okita,,,
10454,Shane Nelson,155 lbs. (70 kg) at 5'9'' (1.75 m),"Honolulu, Hawaii (United States of America)",29th November 1984 (age 37),28th August 2004 (17 years ago),Shane Nelson,,,
10710,John Paul Alessio,155 lbs. (70 kg) at 5'10'' (1.78 m),"Vancouver, British Columbia (Canada)",5th July 1979 (age 42),17th May 1998 (23 years ago),John Alessio,,,
11121,unknown,,"Stoke-on-Trent, Staffordshire, England (United Kingdom)",,,Ryan Myatt,,,
11755,Jamie Cragwell,110 lbs. (50 kg) at 5'7'' (1.70 m),"Nashville, Tennessee (United States of America)",1st June 1975 (age 46),,Naught-A ,,,
13945,unknown,,,31st May 1964 (age 57),,Randy Mulkey,,,
15019,unknown,,"Boise, Idaho (United States of America)",,,Fred Avery,,320 lbs. (145 kg),
16370,Abdul Ghafoor Khan,,Jalalabad (Afghanistan),18th January 1904,,Ghafoor Khan,28th November 1955,,5'10'' (1.78 m)
16459,Mario Miranda,185 lbs. (84 kg) at 6'4'' (1.93 m),"Niterói, Río de Janeiro (Brazil)",21st September 1978 (age 43),24th March 2007 (14 years ago),Mario Miranda,,,
16658,Vinny Scalice,,"Farmingdale, New York (United States of America)",,2006,VSK,,,5'9'' (1.75 m)
16692,unknown,225 lbs. (102 kg) at 6'1'' (1.85 m),"Madrid, Comunidad de Madrid (Spain)",17th May 1984 (age 37),2005,Amien Rios,,,
16722,unknown,265 lbs. (120 kg) at 6'4'' (1.93 m),"Jersey City, New Jersey (United States of America)",1984,,Ryan Blackheart,,,
18068,Leonidas Matthias Michael,170 lbs. (77 kg) at 6'1'' (1.85 m),,,??th March 2009,Leo London,,,
20100,Hiro Tsumaki,198 lbs. (90 kg) at 5'9'' (1.75 m),"Odawara, Kanagawa (Japan)",4th June 1986 (age 35),3rd March 2010 (12 years ago),FUMA,,,
20791,unknown,,Ohio (United States of America),,,Eli McFly,,,
21574,Marcus Clyde Brimage ,145 lbs. (66 kg) at 5'4'' (1.63 m),"Colorado Springs, Colorado (United States of America)",6th April 1985 (age 36),17th March 2007 (14 years ago),Marcus Brimage,,,
22302,unknown,227 lbs. (103 kg) at 6'0'' (1.83 m),"Hamburg, Hamburg (Germany)",21st December ???,3rd December 2011 (10 years ago),Michael Schenkenberg,,,
23393,Amanpreet Singh,,,,,Mahabali Veera,,,
25042,Drew Donaldson,,Massachusetts (United States of America),1985,2004,Chase Donovan,,,
25491,Eduardo Diamond,215 lbs. (98 kg) at 5'9'' (1.75 m),"Richmond, Virginia (United States of America)",26th May 1982 (age 39),,Eddie Diamond,,,
26122,Clayton Jack,285 lbs. (129 kg) at 6'5'' (1.96 m),"Reno, Nevada (United States of America)",,2013,Kal Jak,,,
28955,unknown,220 lbs. (100 kg) at 5'7'' (1.70 m),Japan,26th July 1990 (age 31),8th April 2012 (9 years ago),SAGAT,,,
30805,Jun Tonsho,143 lbs. (65 kg) at 5'8'' (1.73 m),"Asaka, Saitama (Japan)",27th March 1999 (age 22),30th March 2016 (5 years ago),Jun Tondokoro,,,
34555,unknown,,,,,Omari,,,6'4'' (1.93 m)
34720,unknown,176 lbs. (80 kg) at 5'7'' (1.70 m),"Hakodate, Hokkaido (Japan)",9th November 1995 (age 26),3rd February 2018 (4 years ago),Yuki Ishikawa,,,
38018,unknown,,"Bloomington, Minnesota (United States of America)",8th November 2001 (age 20),2019,Julia Hart ,,,
1892,Ryback Allen Reeves,291 lbs. (132 kg) at 6'3'' (1.91 m),"Las Vegas, Nevada (United States of America)",10th November 1981 (age 40),2004,The Big Guy,,,
415,Rena Marlette Lesnar,120 lbs. (54 kg) at 5'7'' (1.70 m),"Jacksonville, Florida (United States of America)",8th August 1967 (age 54),31st March 1996 (25 years ago),Sable ,,,
742,Josip Nikolai Peruzovic,315 lbs. (143 kg) at 6'4'' (1.93 m),Split (Croatia),14th October 1947,1968,Nikolai Volkoff,29th July 2018,,
966,Robert Malcolm Sapp,330 lbs. (150 kg) at 6'7'' (2.01 m),"Colorado Springs, Colorado (United States of America)",22nd September 1974 (age 47),2000,Bob Sapp,,,
520,Takayuki Iizuka,231 lbs. (105 kg) at 5'11'' (1.80 m),"Muroran, Hokkaido (Japan)",2nd August 1966 (age 55),2nd November 1986 (35 years ago),Takashi Iizuka,,,
27550,Joseann Alexie Offerman,,,10th March 1994 (age 28),7th October 2013 (8 years ago),JoJo ,,,5'2'' (1.57 m)
1742,unknown,240 lbs. (109 kg) at 6'0'' (1.83 m),"Lexington, Tennessee (United States of America)",5th February 1969 (age 53),1986,Doug Gilbert,,,
15438,unknown,,"Ciudad de México, Ciudad de México (Mexico)",19th January 1989 (age 33),,Astral,,,5'3'' (1.60 m)
1027,Michael Shawn Hettinga,293 lbs. (133 kg) at 6'5'' (1.96 m),"San Bernardino, California (United States of America)",17th July 1978 (age 43),1998,Knux,,,
973,Donald West,180 lbs. (82 kg) at 5'9'' (1.75 m),"Chicago, Illinois (United States of America)",20th June 1963 (age 58),19th June 2002 (19 years ago),Don West,,,
6690,Dewey Franklin Trigg III.,170 lbs. (77 kg) at 5'8'' (1.73 m),"Rochester, New York (United States of America)",7th May 1972 (age 49),18th October 1997 (24 years ago),Frank Trigg,,,
219,Michael Lynn Durham,263 lbs. (119 kg) at 6'3'' (1.91 m),"Sulphur, Louisiana (United States of America)",10th July 1966,1987,Johnny Grunge,16th February 2006,,
328,Matthew Tapunu'u Anoa'i,415 lbs. (188 kg) at 6'4'' (1.93 m),"San Francisco, California (United States of America)",7th April 1970,1994,Matt Anoa'i,17th April 2017,,
1509,unknown,185 lbs. (84 kg) at 5'9'' (1.75 m),"Los Angeles, California (United States of America)",12th September 1982 (age 39),2001,Sal Rinauro,,,
2075,Jeff Gaylord,280 lbs. (127 kg) at 6'3'' (1.91 m),United States of America,15th October 1958 (age 63),1985,Jeff Gaylord,,,
5960,George South,240 lbs. (109 kg) at 6'2'' (1.88 m),"Atlanta, Georgia (United States of America)",7th September 1962 (age 59),1984,George South,,,
7642,Brandon Michael Vera,205 lbs. (93 kg) at 6'2'' (1.88 m),"Norfolk, Virginia (United States of America)",10th October 1977 (age 44),6th July 2002 (19 years ago),Brandon Vera,,,
2110,William Edward Wiskoski,270 lbs. (122 kg) at 6'4'' (1.93 m),"St. Joseph, Missouri (United States of America)",10th January 1945 (age 77),1972,Ed Wiskoski,,,
7046,Christina Johnston,,"New York City, New York (United States of America)",8th November 1983 (age 38),,Chrissy Rivera ,,,4'11'' (1.50 m)
10139,Daniel Moloney,216 lbs. (98 kg) at 5'10'' (1.78 m),United Kingdom,1997,,Dan Moloney,,,
148,James Stuart Duggan,240 lbs. (109 kg) at 6'3'' (1.91 m),"Glens Falls, New York (United States of America)",14th January 1954 (age 68),1979,Jim Duggan,,,
28500,Ashley Mae Sebera,,"Seven Hills, Ohio (United States of America)",29th November 1988 (age 33),2014,Dana Brooke ,,,5'3'' (1.60 m)
3744,Martin Krcaj,195 lbs. (88 kg) at 5'8'' (1.73 m),"Detroit, Michigan (United States of America)",8th May 1975 (age 46),1998,Truth Martini,,,
690,John Rivera,175 lbs. (79 kg) at 5'7'' (1.70 m),La Habana (Cuba),28th October 1982 (age 39),13th September 1997 (24 years ago),Rocky Romero,,,
332,Americo Sebastiano Costantino,228 lbs. (103 kg) at 6'0'' (1.83 m),"Las Vegas, Nevada (United States of America)",1st October 1961 (age 60),1998,Rico Constantino,,,
3694,James Michael Curtin,126 lbs. (57 kg) at 5'3'' (1.60 m),"Birmingham, West Midlands, England (United Kingdom)",30th January 1983 (age 39),??th October 2000,Rockstar Spud,,,
206,Johnny Webber,222 lbs. (101 kg) at 5'11'' (1.80 m),"Ledbetter, Texas (United States of America)",31st July 1969 (age 52),1997,Johnny Webb,,,
428,Roland Montgomery,,"Louisville, Kentucky (United States of America)",24th September 1974,1995,Rollin' Hard,26th December 2008,,
5445,unknown,,"Gary, Indiana (United States of America)",,1995,Rasche Brown,,260 lbs. (118 kg),
8084,Karapet Parisyan,170 lbs. (77 kg) at 5'10'' (1.78 m),Jerewan (Armenia),28th August 1982 (age 39),1st February 1999 (23 years ago),Karo Parisyan,,,
8663,Oscar Vasquez,215 lbs. (98 kg) at 6'1'' (1.85 m),"El Paso, Texas (United States of America)",17th August 1984 (age 37),1999,Magno,,,
9231,Pedro Augusto Rizzo,245 lbs. (111 kg) at 6'1'' (1.85 m),"Río de Janeiro, Río de Janeiro (Brazil)",3rd May 1974 (age 47),26th October 1996 (25 years ago),Pedro Rizzo,,,
17757,Mike Hitchman,180 lbs. (82 kg) at 5'6'' (1.68 m),"Blaina, Blaenau Gwent, Wales (United Kingdom)",,,Wild Boar,,,
1108,Paige Nicole Mayo,105 lbs. (48 kg) at 5'7'' (1.70 m),"Beverly Hills, California (United States of America)",27th March 1986 (age 35),30th March 2002 (19 years ago),SoCal Val ,,,
777,Glenn Ruth,245 lbs. (111 kg) at 6'2'' (1.88 m),"Seattle, Washington (United States of America)",13th June 1969 (age 52),1990,Thrasher,,,
1502,Jim Morris,320 lbs. (145 kg) at 6'7'' (2.01 m),"Mudlick, Kentucky (United States of America)",5th July 1952 (age 69),1975,Hillbilly Jim,,,
1346,Kenneth George Doane,250 lbs. (113 kg) at 6'4'' (1.93 m),"Southbridge, Massachusetts (United States of America)",16th March 1986 (age 35),2001,Kenny,,,
2005,Rebecca Curci-Hickenbottom,110 lbs. (50 kg) at 5'9'' (1.75 m),"San Antonio, Texas (United States of America)",16th June 1973 (age 48),17th July 1998 (23 years ago),Whisper ,,,
156,Melinda O'Hearn,100 lbs. (45 kg) at 5'3'' (1.60 m),"Seattle, Washington (United States of America)",23rd March 1970 (age 51),??th December 1999,Midajah ,,,
1798,Charles Donald Kernodle Jr.,290 lbs. (132 kg) at 6'1'' (1.85 m),"Burlington, North Carolina (United States of America)",2nd May 1950,1973,Don Kernodle,17th May 2021,,
5138,Israel Aguilar Alvarez,187 lbs. (85 kg) at 5'6'' (1.68 m),Mexico,30th March 1979 (age 42),22nd December 2004 (17 years ago),Disturbio,,,
31122,Aerial Hull,,"Clearwater, Florida (United States of America)",11th July 1989 (age 32),29th November 2015 (6 years ago),Big Swole ,,,5'5'' (1.65 m)
10923,Taylor Michael Rotunda,234 lbs. (106 kg) at 6'1'' (1.85 m),"Brooksville, Florida (United States of America)",25th May 1990 (age 31),15th November 2008 (13 years ago),Taylor Rotunda,,,
326,Jacquelyn Suzanne Gayda-Haas,132 lbs. (60 kg) at 5'7'' (1.70 m),"Strongsville, Ohio (United States of America)",3rd November 1981 (age 40),6th June 2002 (19 years ago),Jackie Gayda ,,,
253,Darryl Peterson,315 lbs. (143 kg) at 6'6'' (1.98 m),"Salt Lake City, Utah (United States of America)",3rd October 1961 (age 60),1986,Maxx Payne,,,
2708,Ralf Bayer,285 lbs. (129 kg) at 6'2'' (1.88 m),"Heidelberg, Baden-Württemberg (Germany)",17th January 1983 (age 39),20th October 2002 (19 years ago),Farmer Joe,,,
460,Delbert Alexander Wilkes Jr.,275 lbs. (125 kg) at 6'5'' (1.96 m),"Columbia, South Carolina (United States of America)",21st December 1961,1988,The Patriot,1st July 2021,,
241,Scott Antol,255 lbs. (116 kg) at 6'3'' (1.91 m),"Atlanta, Georgia (United States of America)",1st March 1967 (age 55),6th February 1992 (30 years ago),Scotty Riggs,,,
1943,Nickla Ann Roberts,190 lbs. (86 kg) at 5'10'' (1.78 m),"Lubbock, Texas (United States of America)",13th February 1962 (age 60),1984,Baby Doll ,,,
3015,Kyle Threat,160 lbs. (73 kg) at 5'7'' (1.70 m),"Indianapolis, Indiana (United States of America)",10th July 1983 (age 38),,Kyle Threat,,,
1291,Michael Kaus,205 lbs. (93 kg) at 5'11'' (1.80 m),"Köln, Nordrhein-Westfalen (Germany)",13th May 1975 (age 46),3rd August 2002 (19 years ago),Darksoul,,,
1990,Daryl Karolat,294 lbs. (133 kg) at 6'10'' (2.08 m),"Saskatoon, Saskatchewan (Canada)",23rd October 1966 (age 55),1986,Tyler Mane,,,
2059,Yoji Anjo,220 lbs. (100 kg) at 5'11'' (1.80 m),"Tokyo, Tokyo (Japan)",28th March 1967 (age 54),8th July 1985 (36 years ago),Yoji Anjo,,,
2169,Shu Sato,154 lbs. (70 kg) at 5'6'' (1.68 m),"Yokohama, Kanagawa (Japan)",5th July 1977 (age 44),2nd December 2001 (20 years ago),Brahman Shu,,,
5780,unknown,185 lbs. (84 kg) at 5'7'' (1.70 m),"Edinburgh, Edinburgh, Scotland (United Kingdom)",,,Liam Thomson,,,
22693,Kevin Marshall Adkisson,230 lbs. (104 kg) at 6'3'' (1.91 m),"Grand Prairie, Texas (United States of America)",10th November 1992 (age 29),20th April 2012 (9 years ago),Marshall Von Erich,,,
1552,José Laureano,215 lbs. (98 kg) at 5'10'' (1.78 m),Vega Baja (Puerto Rico),24th June 1958 (age 63),1975,Chicky Starr,,,
1555,unknown,181 lbs. (82 kg) at 5'10'' (1.78 m),"Erie, Pennsylvania (United States of America)",,2002,John McChesney,,,
1911,José Miguel Pérez,238 lbs. (108 kg) at 6'1'' (1.85 m),Puerto Rico,22nd June 1937,15th October 1954 (67 years ago),José Miguel Pérez,16th July 2005,,
2194,Jon Talwar,180 lbs. (82 kg) at 5'8'' (1.73 m),"San Diego, California (United States of America)",6th February 1984 (age 38),,Topgun Talwar,,,
3117,unknown,161 lbs. (73 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",28th October 1966 (age 55),2004,Nube Roja,,,
3830,Mark Vellios,275 lbs. (125 kg) at 6'3'' (1.91 m),"Los Angeles, California (United States of America)",30th May 1968 (age 53),1985,Michelle Starr,,,
3843,Mike Connell,195 lbs. (88 kg) at 6'2'' (1.88 m),"Coventry, West Midlands, England (United Kingdom)",1st February 1977 (age 45),??th June 1999,Majik,,,
4123,Damien Meadows,,"Essex, England (United Kingdom)",25th August 1980 (age 41),2002,Brett Meadows,,,6'2'' (1.88 m)
4277,Alberto Pérez Jiminez,,"Nezahualcóyotl, Estado de México (Mexico)",,,La Parkita,29th June 2009,,
4684,Karl Griffiths,240 lbs. (109 kg) at 6'6'' (1.98 m),"Merthyr Tydfil, Merthyr Tydfil, Wales (United Kingdom)",20th July 1978 (age 43),2004,Caiman,,,
5126,Jannes Huizing,220 lbs. (100 kg) at 6'4'' (1.93 m),"Marum, Groningen (Netherlands)",22nd June 1976 (age 45),2000,Destructo,,,
5927,unknown,209 lbs. (95 kg) at 5'10'' (1.78 m),"Stoke-on-Trent, Staffordshire, England (United Kingdom)",28th July 1959 (age 62),1983,Keith Myatt,,,
7000,Francis Huntington,240 lbs. (109 kg) at 6'3'' (1.91 m),,,,Frank Hill,,,
7410,unknown,170 lbs. (77 kg) at 6'1'' (1.85 m),"Las Vegas, Nevada (United States of America)",,,Marion Fontaine,,,
9819,Tyler Fullington,,"Philadelphia, Pennsylvania (United States of America)",1989,23rd August 2008 (13 years ago),Twisted Sand,,,
10099,unknown,,Mexico,30th December 1977 (age 44),2004,Tóxico,,,
11831,Abel Cullum,135 lbs. (61 kg) at 5'7'' (1.70 m),"Tucumcari, New Mexico (United States of America)",21st April 1987 (age 34),17th September 2005 (16 years ago),Abel Cullum,,,
